Count,"Tradelist Count",Name,Edition,"Card Number",Condition,Foil,Signed,"Artist Proof","Altered Art",Misprint,Promo,Textless,"My Price"
1,,"Abu Ja'far","Arabian Nights",,,,,,,,,,60.99
1,,Aladdin,"Arabian Nights",,,,,,,,,,86.00
1,,"Aladdin's Lamp","Arabian Nights",,,,,,,,,,77.95
1,,"Aladdin's Ring","Arabian Nights",,,,,,,,,,99.75
1,,"Ali Baba","Arabian Nights",,,,,,,,,,32.26
1,,"Ali from Cairo","Arabian Nights",,,,,,,,,,470.00
1,,"Army of Allah","Arabian Nights",,,,,,,,,,46.29
1,,"Army of Allah","Arabian Nights",,,,,,,,,,25.95
1,,"Bazaar of Baghdad","Arabian Nights",,,,,,,,,,3075.00
1,,"Bird Maiden","Arabian Nights",,,,,,,,,,9.49
1,,"Bird Maiden","Arabian Nights",,,,,,,,,,9.26
1,,"Bottle of Suleiman","Arabian Nights",,,,,,,,,,78.93
1,,"Brass Man","Arabian Nights",,,,,,,,,,28.49
1,,Camel,"Arabian Nights",,,,,,,,,,9.49
1,,"City in a Bottle","Arabian Nights",,,,,,,,,,499.99
1,,"City of Brass","Arabian Nights",,,,,,,,,,549.99
1,,"Cuombajj Witches","Arabian Nights",,,,,,,,,,18.44
1,,Cyclone,"Arabian Nights",,,,,,,,,,29.99
1,,"Dancing Scimitar","Arabian Nights",,,,,,,,,,64.49
1,,Dandân,"Arabian Nights",,,,,,,,,,12.99
1,,Desert,"Arabian Nights",,,,,,,,,,14.40
1,,"Desert Nomads","Arabian Nights",,,,,,,,,,12.20
1,,"Desert Twister","Arabian Nights",,,,,,,,,,38.01
1,,"Diamond Valley","Arabian Nights",,,,,,,,,,899.98
1,,"Drop of Honey","Arabian Nights",,,,,,,,,,780.12
1,,"Ebony Horse","Arabian Nights",,,,,,,,,,47.83
1,,"Elephant Graveyard","Arabian Nights",,,,,,,,,,301.99
1,,El-Hajjâj,"Arabian Nights",,,,,,,,,,53.24
1,,"Erg Raiders","Arabian Nights",,,,,,,,,,5.73
1,,"Erg Raiders","Arabian Nights",,,,,,,,,,7.29
1,,"Erhnam Djinn","Arabian Nights",,,,,,,,,,449.99
1,,"Eye for an Eye","Arabian Nights",,,,,,,,,,40.17
1,,"Fishliver Oil","Arabian Nights",,,,,,,,,,14.49
1,,"Fishliver Oil","Arabian Nights",,,,,,,,,,6.35
